KOMMUNNAMN,seats
Ale,1
Alingsås,1
Älmhult,1
Älvdalen,1
Alvesta,1
Älvkarleby,1
Älvsbyn,1
Åmål,1
Aneby,1
Ånge,1
Ängelholm,1
Arboga,1
Åre,1
Årjäng,1
Arjeplog,1
Arvidsjaur,1
Arvika,1
Åsele,1
Askersund,1
Åstorp,1
Åtvidaberg,1
Avesta,1
Båstad,1
Bengtsfors,1
Berg,1
Bjurholm,1
Bjuv,1
Boden,1
Bollebygd,1
Bollnäs,1
Borås,2
Borgholm,1
Borlänge,1
Botkyrka,1
Boxholm,1
Bräcke,1
Bromölla,1
Burlöv,1
Dals-Ed,1
Danderyd,1
Degerfors,1
Dorotea,1
Eda,1
Ekerö,1
Eksjö,1
Emmaboda,1
Enköping,1
Eskilstuna,1
Eslöv,1
Essunga,1
Fagersta,1
Falkenberg,1
Falköping,1
Falun,1
Färgelanda,1
Filipstad,1
Finspång,1
Flen,1
Forshaga,1
Gagnef,1
Gällivare,1
Gävle,1
Gislaved,1
Gnesta,1
Gnosjö,1
Göteborg,4
Götene,1
Gotland,1
Grästorp,1
Grums,1
Gullspång,1
Habo,1
Håbo,1
Hagfors,1
Hällefors,1
Hallsberg,1
Hallstahammar,1
Halmstad,1
Hammarö,1
Haninge,1
Haparanda,1
Härjedalen,1
Härnösand,1
Härryda,1
Hässleholm,1
Heby,1
Hedemora,1
Helsingborg,2
Herrljunga,1
Hjo,1
Hofors,1
Höganäs,1
Högsby,1
Höör,1
Hörby,1
Huddinge,1
Hudiksvall,1
Hultsfred,1
Hylte,1
Järfälla,1
Jokkmokk,1
Jönköping,2
Kalix,1
Kalmar,1
Karlsborg,1
Karlshamn,1
Karlskoga,1
Karlskrona,1
Karlstad,1
Katrineholm,1
Kävlinge,1
Kil,1
Kinda,1
Kiruna,1
Klippan,1
Knivsta,1
Köping,1
Kramfors,1
Kristianstad,1
Kristinehamn,1
Krokom,1
Kumla,1
Kungälv,1
Kungsbacka,1
Kungsör,1
Laholm,1
Landskrona,1
Laxå,1
Lekeberg,1
Leksand,1
Lerum,1
Lessebo,1
Lidingö,1
Lidköping,1
Lilla Edet,1
Lindesberg,1
Linköping,2
Ljungby,1
Ljusdal,1
Ljusnarsberg,1
Lomma,1
Ludvika,1
Luleå,1
Lund,2
Lycksele,1
Lysekil,1
Malå,1
Malmö,3
Malung-Sälen,1
Mariestad,1
Mark,1
Markaryd,1
Mellerud,1
Mjölby,1
Mölndal,1
Mönsterås,1
Mora,1
Mörbylånga,1
Motala,1
Mullsjö,1
Munkedal,1
Munkfors,1
Nacka,1
Nässjö,1
Nora,1
Norberg,1
Nordanstig,1
Nordmaling,1
Norrköping,2
Norrtälje,1
Norsjö,1
Nybro,1
Nyköping,1
Nykvarn,1
Nynäshamn,1
Ockelbo,1
Öckerö,1
Ödeshög,1
Olofström,1
Örebro,2
Örkelljunga,1
Örnsköldsvik,1
Orsa,1
Orust,1
Osby,1
Oskarshamn,1
Österåker,1
Östersund,1
Östhammar,1
Östra Göinge,1
Ovanåker,1
Överkalix,1
Övertorneå,1
Oxelösund,1
Pajala,1
Partille,1
Perstorp,1
Piteå,1
Ragunda,1
Rättvik,1
Robertsfors,1
Ronneby,1
Säffle,1
Sala,1
Salem,1
Sandviken,1
Säter,1
Sävsjö,1
Sigtuna,1
Simrishamn,1
Sjöbo,1
Skara,1
Skellefteå,1
Skinnskatteberg,1
Skövde,1
Skurup,1
Smedjebacken,1
Söderhamn,1
Söderköping,1
Södertälje,1
Sollefteå,1
Sollentuna,1
Solna,1
Sölvesborg,1
Sorsele,1
Sotenäs,1
Staffanstorp,1
Stenungsund,1
Stockholm,6
Storfors,1
Storuman,1
Strängnäs,1
Strömstad,1
Strömsund,1
Sundbyberg,1
Sundsvall,1
Sunne,1
Surahammar,1
Svalöv,1
Svedala,1
Svenljunga,1
Täby,1
Tanum,1
Tibro,1
Tidaholm,1
Tierp,1
Timrå,1
Tingsryd,1
Tjörn,1
Tomelilla,1
Töreboda,1
Torsås,1
Torsby,1
Tranås,1
Tranemo,1
Trelleborg,1
Trollhättan,1
Trosa,1
Tyresö,1
Uddevalla,1
Ulricehamn,1
Umeå,2
Upplands Väsby,1
Upplands-Bro,1
Uppsala,2
Uppvidinge,1
Vadstena,1
Vaggeryd,1
Valdemarsvik,1
Vallentuna,1
Vänersborg,1
Vännäs,1
Vansbro,1
Vara,1
Varberg,1
Vårgårda,1
Värmdö,1
Värnamo,1
Västerås,2
Västervik,1
Vaxholm,1
Växjö,1
Vellinge,1
Vetlanda,1
Vilhelmina,1
Vimmerby,1
Vindeln,1
Vingåker,1
Ydre,1
Ystad,1
